Family,Species,French Name,Latin Name,Species Code,Num
Shearwaters and Petrels (Procellariidae),Manx Shearwater,Puffin des Anglais,Puffinus puffinus,MASH,2
Storks (Ciconiidae),Jabiru,Jabiru d'Amérique,Jabiru mycteria,JABI,4
Storks (Ciconiidae),Wood Stork,Tantale d'Amérique,Mycteria americana,WOST,1
Boobies and Gannets (Sulidae),Masked Booby,Fou masqué,Sula dactylatra,MABO,2
Boobies and Gannets (Sulidae),Blue-footed Booby,Fou à pieds bleus,Sula nebouxii,BFBO,4
Boobies and Gannets (Sulidae),Brown Booby,Fou brun,Sula leucogaster,BRBO,2
Boobies and Gannets (Sulidae),Red-footed Booby,Fou à pieds rouges,Sula sula,RFBO,2
Boobies and Gannets (Sulidae),Northern Gannet,Fou de Bassan,Morus bassanus,NOGA,1
Darters (Anhingidae),Anhinga,Anhinga d'Amérique,Anhinga anhinga,ANHI,1
Cormorants (Phalacrocoracidae),Pelagic Cormorant,Cormoran pélagique,Urile pelagicus,PECO,1
Cormorants (Phalacrocoracidae),Great Cormorant,Grand Cormoran,Phalacrocorax carbo,GRCO,1
Cormorants (Phalacrocoracidae),Double-crested Cormorant,Cormoran à aigrettes,Nannopterum auritum,DCCO,1
Cormorants (Phalacrocoracidae),Neotropic Cormorant,Cormoran vigua,Nannopterum brasilianum,NECO,1
"Bitterns, Herons, and Allies (Ardeidae)",American Bittern,Butor d'Amérique,Botaurus lentiginosus,AMBI,1
"Bitterns, Herons, and Allies (Ardeidae)",Least Bittern,Petit Blongios,Ixobrychus exilis,LEBI,1
"Bitterns, Herons, and Allies (Ardeidae)",Bare-throated Tiger-Heron,Onoré du Mexique,Tigrisoma mexicanum,BTTH,5
"Bitterns, Herons, and Allies (Ardeidae)",Great Blue Heron,Grand Héron,Ardea herodias,GBHE,1
"Bitterns, Herons, and Allies (Ardeidae)",Great Egret,Grande Aigrette,Ardea alba,GREG,1
